"Prabhakaran. N.","Tamil Nadu","Chennai Central",377,0.05,Independent,27,"Graduate Professional",75000,0,"",Advocate
"Pushparaj. J. L.","Tamil Nadu","Chennai Central",216,0.03,Independent,28,Literate,149000,0,"",business
Sasikumar.s.,"Tamil Nadu","Chennai Central",1556,0.2,"Tamil Nadu Ilangyar Katchi",36,Others,1881716,288000,420|467|468|506|406|120B|419|471,"Self employed"
"Ravichandran. M","Tamil Nadu","Chennai Central",197,0.03,Independent,55,"Post Graduate",17290000,12579000,"","Profession Is Technocrat And Occupation Is Business"
"Dr.karthikeyan. R","Tamil Nadu","Chennai Central",30886,3.93,"Naam Tamilar Katchi",31,"Post Graduate",17606805,10680758,"","Dentist, Maxillo Facial Surgeon"
Geethalakshmi.v.r.,"Tamil Nadu","Chennai Central",1030,0.13,"Pyramid Party of India",51,"12th Pass",650000,0,"","Home Maker"
"Raj Ramchand","Tamil Nadu","Chennai Central",497,0.06,Independent,51,Graduate,11287869,217873,"","Financial Advisor"
"Dr. Gunasekar. N","Tamil Nadu","Chennai Central",1229,0.16,Independent,29,"10th Pass",175000,0,324|307|384|147|148|341,"Daily Wager & Social Service"
Nota,"Tamil Nadu","Chennai Central",13822,1.76,"None of the Above",,,,,,
"Govindaraj. L.","Tamil Nadu","Chennai Central",1184,0.15,Independent,39,"Graduate Professional",7015000,5300000,"","Advocate, Madras High Court"
"Vaithiyanathan. R","Tamil Nadu","Chennai Central",356,0.05,Independent,39,"Post Graduate",1443454,0,"","Administrative officer-Dr.Pauls Engineering college"
"Samuel Paul","Tamil Nadu","Chennai Central",1234,0.16,Independent,29,"Post Graduate",350808,0,"","Real Estate-Mediator"
"Madhanagopal. T","Tamil Nadu","Chennai Central",235,0.03,Independent,41,"Graduate Professional",1752500,0,"",Advocate
"Dr. Antriksh Saini",Uttarakhand,Hardwar,173528,13.65,"Bahujan Samaj Party",60,"Graduate Professional",869094791,278877123,"",Doctor
"Narendra Chauhan",Uttarakhand,Hardwar,937,0.07,"Bhartiya Sarvodaya Party",45,Graduate,2857000,300000,"","Agriculture & Labour"
"Furkan Ali Advocate",Uttarakhand,Hardwar,707,0.06,"Pragatishil Samajwadi Party (Lohia)",56,"Post Graduate",7182794,239092,"",Advocate
